MSSubClass,LotFrontage,LotArea,Street,LotShape,Utilities,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,GarageYrBlt_missing_ind,LotFrontage_missing_ind,MasVnrArea_missing_ind,1stFlrSF_log,1stFlr_2ndFlr_SF,OverallGrade,SimplGarageQual
60,65.0,8450,2,4,4,3,7,5,2003,2003,196.0,4,3,4,3,6,706,1,0,150,856,5,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,2003.0,2,548,3,3,2,0,61,0,0,0,0,0,2,2008,208500,0,0,0,6.752270376141742,1710,35,1
20,80.0,9600,2,4,4,3,6,8,1976,1976,0.0,3,3,4,3,5,978,1,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,1976.0,2,460,3,3,2,298,0,0,0,0,0,0,5,2007,181500,0,0,0,7.140453043101158,1262,48,1
60,68.0,11250,2,3,4,3,7,5,2001,2002,162.0,4,3,4,3,6,486,1,0,434,920,5,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,2001.0,2,608,3,3,2,0,42,0,0,0,0,0,9,2008,223500,0,0,0,6.824373670043086,1786,35,1
70,60.0,9550,2,3,4,3,7,5,1915,1970,0.0,3,3,3,4,5,216,1,0,540,756,4,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,1998.0,3,642,3,3,2,0,35,272,0,0,0,0,2,2006,140000,0,0,0,6.8679744089702925,1717,35,1
60,84.0,14260,2,3,4,3,8,5,2000,2000,350.0,4,3,4,3,6,655,1,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,2000.0,3,836,3,3,2,192,84,0,0,0,0,0,12,2008,250000,0,0,0,7.0431599159883405,2198,40,1
50,85.0,14115,2,3,4,3,5,5,1993,1995,0.0,3,3,4,3,6,732,1,0,64,796,5,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,1993.0,2,480,3,3,2,40,30,0,320,0,0,700,10,2009,143000,0,0,0,6.679599185844383,1362,25,1
20,75.0,10084,2,4,4,3,8,5,2004,2005,186.0,4,3,5,3,6,1369,1,0,317,1686,5,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,2004.0,2,636,3,3,2,255,57,0,0,0,0,0,8,2007,307000,0,0,0,7.434847875211999,1694,40,1
60,69.79733110925771,10382,2,3,4,3,7,6,1973,1973,240.0,3,3,4,3,5,859,4,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,1973.0,2,484,3,3,2,235,204,228,0,0,0,350,11,2009,200000,0,1,0,7.009408932708637,2090,42,1
50,51.0,6120,2,4,4,3,7,5,1931,1950,0.0,3,3,3,3,1,0,1,0,952,952,4,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,1931.0,2,468,2,3,2,90,0,205,0,0,0,0,4,2008,129900,0,0,0,6.92951677076365,1774,35,1
190,50.0,7420,2,4,4,3,5,6,1939,1950,0.0,3,3,3,3,6,851,1,0,140,991,5,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,1939.0,1,205,4,3,2,0,4,0,0,0,0,0,1,2008,118000,0,0,0,6.981934677156389,1077,30,2
20,70.0,11200,2,4,4,3,5,5,1965,1965,0.0,3,3,3,3,3,906,1,0,134,1040,5,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,1965.0,1,384,3,3,2,0,0,0,0,0,0,0,2,2008,129500,0,0,0,6.946975992135418,1040,25,1
60,85.0,11924,2,3,4,3,9,5,2005,2006,286.0,5,3,5,3,6,998,1,0,177,1175,5,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,2005.0,3,736,3,3,2,147,21,0,0,0,0,0,7,2006,345000,0,0,0,7.074963197966044,2324,45,1
20,69.79733110925771,12968,2,2,4,3,5,6,1962,1962,0.0,3,3,3,3,5,737,1,0,175,912,3,912,0,0,912,1,0,1,0,2,1,3,4,8,0,1962.0,1,352,3,3,2,140,0,0,0,176,0,0,9,2008,144000,0,1,0,6.815639990074331,912,30,1
20,91.0,10652,2,3,4,3,7,5,2006,2007,306.0,4,3,4,3,1,0,1,0,1494,1494,5,1494,0,0,1494,0,0,2,0,3,1,4,7,8,1,2006.0,3,840,3,3,2,160,33,0,0,0,0,0,8,2007,279500,0,0,0,7.309212365692763,1494,35,1
20,69.79733110925771,10920,2,3,4,3,6,5,1960,1960,212.0,3,3,3,3,4,733,1,0,520,1253,3,1253,0,0,1253,1,0,1,1,2,1,3,5,8,1,1960.0,1,352,3,3,2,0,213,176,0,0,0,0,5,2008,157000,0,1,0,7.133295954896068,1253,30,1
45,51.0,6120,2,4,4,3,7,8,1929,2001,0.0,3,3,3,3,1,0,1,0,832,832,5,854,0,0,854,0,0,1,0,2,1,3,5,8,0,1991.0,2,576,3,3,2,48,112,0,0,0,0,0,7,2007,132000,0,0,0,6.74993119378857,854,56,1
20,69.79733110925771,11241,2,3,4,3,6,7,1970,1970,180.0,3,3,3,3,5,578,1,0,426,1004,5,1004,0,0,1004,1,0,1,0,2,1,3,5,8,1,1970.0,2,480,3,3,2,0,0,0,0,0,0,700,3,2010,149000,0,1,0,6.911747300251674,1004,42,1
90,72.0,10791,2,4,4,3,4,5,1967,1967,0.0,3,3,0,0,0,0,0,0,0,0,3,1296,0,0,1296,0,0,2,0,2,2,3,6,8,0,1967.0,2,516,3,3,2,0,0,0,0,0,0,500,10,2006,90000,0,0,0,7.16703787691222,1296,20,1
20,66.0,13695,2,4,4,3,5,5,2004,2004,0.0,3,3,3,3,6,646,1,0,468,1114,5,1114,0,0,1114,1,0,1,1,3,1,4,6,8,0,2004.0,2,576,3,3,2,0,102,0,0,0,0,0,6,2008,159000,0,0,0,7.01571242048723,1114,25,1
20,70.0,7560,2,4,4,3,5,6,1958,1965,0.0,3,3,3,3,2,504,1,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,1,3,6,7,0,1958.0,1,294,3,3,2,0,0,0,0,0,0,0,5,2009,139000,0,0,0,7.199678345691172,1339,30,1
60,101.0,14215,2,3,4,3,8,5,2005,2006,380.0,4,3,5,3,1,0,1,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,1,4,9,8,1,2005.0,3,853,3,3,2,240,154,0,0,0,0,0,11,2006,325300,0,0,0,7.05444965813294,2376,40,1
45,57.0,7449,2,4,4,3,7,7,1930,1950,0.0,3,3,3,3,1,0,1,0,637,637,5,1108,0,0,1108,0,0,1,0,3,1,4,6,8,1,1930.0,1,280,3,3,0,0,0,205,0,0,0,0,6,2007,139400,0,0,0,7.010311867307229,1108,49,1
20,75.0,9742,2,4,4,3,8,5,2002,2002,281.0,4,3,4,3,1,0,1,0,1777,1777,5,1795,0,0,1795,0,0,2,0,3,1,4,7,8,1,2002.0,2,534,3,3,2,171,159,0,0,0,0,0,9,2008,230000,0,0,0,7.492760300922379,1795,40,1
120,44.0,4224,2,4,4,3,5,7,1976,1976,0.0,3,3,4,3,6,840,1,0,200,1040,3,1060,0,0,1060,1,0,1,0,3,1,3,6,8,1,1976.0,2,572,3,3,2,100,110,0,0,0,0,0,6,2007,129900,0,0,0,6.966024187106113,1060,35,1
20,69.79733110925771,8246,2,3,4,3,5,8,1968,2001,0.0,3,4,3,3,3,188,5,668,204,1060,5,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,1968.0,1,270,3,3,2,406,90,0,0,0,0,0,5,2010,154000,0,1,0,6.966024187106113,1060,40,1
20,110.0,14230,2,4,4,3,8,5,2007,2007,640.0,4,3,4,3,1,0,1,0,1566,1566,5,1600,0,0,1600,0,0,2,0,3,1,4,7,8,1,2007.0,3,890,3,3,2,0,56,0,0,0,0,0,7,2009,256300,0,0,0,7.3777589082278725,1600,40,1
20,60.0,7200,2,4,4,3,5,7,1951,2000,0.0,3,3,3,3,4,234,3,486,180,900,3,900,0,0,900,0,1,1,0,3,1,4,5,8,0,2005.0,2,576,3,3,2,222,32,0,0,0,0,0,5,2010,134800,0,0,0,6.802394763324311,900,35,1
20,98.0,11478,2,4,4,3,8,5,2007,2008,200.0,4,3,5,3,6,1218,1,0,486,1704,5,1704,0,0,1704,1,0,2,0,3,1,4,7,8,1,2008.0,3,772,3,3,2,0,50,0,0,0,0,0,5,2010,306000,0,0,0,7.440733707389261,1704,40,1
20,47.0,16321,2,3,4,3,5,6,1957,1997,0.0,3,3,3,3,4,1277,1,0,207,1484,3,1600,0,0,1600,1,0,1,0,2,1,3,6,8,2,1957.0,1,319,3,3,2,288,258,0,0,0,0,0,12,2006,207500,0,0,0,7.3777589082278725,1600,30,1
30,60.0,6324,2,3,4,3,4,6,1927,1950,0.0,3,3,3,3,1,0,1,0,520,520,2,520,0,0,520,0,0,1,0,1,1,2,4,8,0,1920.0,1,240,2,3,2,49,0,87,0,0,0,0,5,2008,68500,0,0,0,6.253828811575473,520,24,1
70,50.0,8500,2,4,4,3,4,4,1920,1950,0.0,3,2,3,3,1,0,1,0,649,649,3,649,668,0,1317,0,0,1,0,3,1,3,6,8,0,1920.0,1,250,3,2,0,0,54,172,0,0,0,0,7,2008,40000,0,0,0,6.47543271670409,1317,16,1
20,69.79733110925771,8544,2,3,4,3,5,6,1966,2006,0.0,3,3,3,3,1,0,1,0,1228,1228,4,1228,0,0,1228,0,0,1,1,3,1,4,6,8,0,1966.0,1,271,3,3,2,0,65,0,0,0,0,0,6,2008,149350,0,1,0,7.113142108707088,1228,30,1
20,85.0,11049,2,4,4,3,8,5,2007,2007,0.0,4,3,5,3,1,0,1,0,1234,1234,5,1234,0,0,1234,0,0,2,0,3,1,4,7,8,0,2007.0,2,484,3,3,2,0,30,0,0,0,0,0,1,2008,179900,0,0,0,7.1180162044653335,1234,40,1
20,70.0,10552,2,3,4,3,5,5,1959,1959,0.0,3,3,3,3,3,1018,1,0,380,1398,4,1700,0,0,1700,0,1,1,1,4,1,4,6,8,1,1959.0,2,447,3,3,2,0,38,0,0,0,0,0,4,2010,165500,0,0,0,7.438383530044307,1700,25,1
