SEASON_ID;TEAM_ID;TEAM_ABBREVIATION;TEAM_NAME;GAME_ID;GAME_DATE;MATCHUP;WL;MIN;PTS;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;STL;BLK;TOV;PF;PLUS_MINUS
42015;1610612739;CLE;Cleveland Cavaliers;0041500407;2016-06-19;CLE @ GSW;W;241;93;33;82;0.402;6;25;0.24;21;25;0.84;9;39;48;17;7;6;11;15;4.0
42015;1610612744;GSW;Golden State Warriors;0041500407;2016-06-19;GSW vs. CLE;L;239;89;32;83;0.386;15;41;0.366;10;13;0.769;7;32;39;22;7;5;10;23;-4.0
42015;1610612744;GSW;Golden State Warriors;0041500406;2016-06-16;GSW @ CLE;L;238;101;33;82;0.402;15;39;0.385;20;29;0.69;9;26;35;19;5;3;14;25;-14.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500406;2016-06-16;CLE vs. GSW;W;240;115;40;77;0.519;10;27;0.37;25;32;0.781;8;37;45;24;12;7;10;25;14.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500405;2016-06-13;CLE @ GSW;W;241;112;44;83;0.53;10;24;0.417;14;23;0.609;8;33;41;15;11;9;16;22;15.0
42015;1610612744;GSW;Golden State Warriors;0041500405;2016-06-13;GSW vs. CLE;L;242;97;32;88;0.364;14;43;0.326;19;26;0.731;13;30;43;18;6;9;17;21;-15.0
42015;1610612744;GSW;Golden State Warriors;0041500404;2016-06-10;GSW @ CLE;W;239;108;33;81;0.407;17;36;0.472;25;31;0.806;14;29;43;23;7;6;8;22;11.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500404;2016-06-10;CLE vs. GSW;L;241;97;38;81;0.469;6;25;0.24;15;26;0.577;16;24;40;15;5;6;11;24;-11.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500403;2016-06-08;CLE vs. GSW;W;242;120;48;91;0.527;12;25;0.48;12;17;0.706;17;35;52;23;8;3;13;25;30.0
42015;1610612744;GSW;Golden State Warriors;0041500403;2016-06-08;GSW @ CLE;L;241;90;32;76;0.421;9;33;0.273;17;26;0.654;8;24;32;21;5;4;18;23;-30.0
42015;1610612744;GSW;Golden State Warriors;0041500402;2016-06-05;GSW vs. CLE;W;241;110;44;81;0.543;15;33;0.455;7;10;0.7;12;34;46;26;7;9;20;20;33.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500402;2016-06-05;CLE @ GSW;L;241;77;28;79;0.354;5;23;0.217;16;24;0.667;9;25;34;15;15;3;17;19;-33.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500401;2016-06-02;CLE @ GSW;L;238;89;32;84;0.381;7;21;0.333;18;20;0.9;15;32;47;17;7;4;15;17;-15.0
42015;1610612744;GSW;Golden State Warriors;0041500401;2016-06-02;GSW vs. CLE;W;239;104;43;87;0.494;9;27;0.333;9;10;0.9;9;32;41;29;9;4;9;16;15.0
42015;1610612744;GSW;Golden State Warriors;0041500317;2016-05-30;GSW vs. OKC;W;239;96;37;85;0.435;17;37;0.459;5;8;0.625;10;36;46;20;4;4;11;16;8.0
42015;1610612760;OKC;Oklahoma City Thunder;0041500317;2016-05-30;OKC @ GSW;L;240;88;34;89;0.382;7;27;0.259;13;17;0.765;14;33;47;20;3;5;7;11;-8.0
42015;1610612760;OKC;Oklahoma City Thunder;0041500316;2016-05-28;OKC vs. GSW;L;241;101;38;90;0.422;3;23;0.13;22;32;0.688;16;33;49;16;9;10;15;22;-7.0
42015;1610612744;GSW;Golden State Warriors;0041500316;2016-05-28;GSW @ OKC;W;241;108;36;88;0.409;21;45;0.467;15;24;0.625;13;31;44;23;11;4;14;25;7.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500306;2016-05-27;CLE @ TOR;W;240;113;40;74;0.541;17;31;0.548;16;21;0.762;4;34;38;22;6;6;10;18;26.0
42015;1610612761;TOR;Toronto Raptors;0041500306;2016-05-27;TOR vs. CLE;L;240;87;33;79;0.418;8;25;0.32;13;17;0.765;7;26;33;10;6;2;12;19;-26.0
42015;1610612760;OKC;Oklahoma City Thunder;0041500315;2016-05-26;OKC @ GSW;L;240;111;39;91;0.429;13;30;0.433;20;24;0.833;13;32;45;23;8;2;17;26;-9.0
42015;1610612744;GSW;Golden State Warriors;0041500315;2016-05-26;GSW vs. OKC;W;239;120;40;85;0.471;9;24;0.375;31;34;0.912;11;34;45;25;13;7;15;18;9.0
42015;1610612761;TOR;Toronto Raptors;0041500305;2016-05-25;TOR @ CLE;L;239;78;27;69;0.391;3;17;0.176;21;35;0.6;5;22;27;19;9;3;18;25;-38.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500305;2016-05-25;CLE vs. TOR;W;239;116;44;77;0.571;10;21;0.476;18;24;0.75;10;38;48;23;11;6;16;26;38.0
42015;1610612744;GSW;Golden State Warriors;0041500314;2016-05-24;GSW @ OKC;L;239;94;33;80;0.413;9;30;0.3;19;29;0.655;8;32;40;15;11;4;21;26;-24.0
42015;1610612760;OKC;Oklahoma City Thunder;0041500314;2016-05-24;OKC vs. GSW;W;241;118;39;90;0.433;9;26;0.346;31;40;0.775;16;40;56;23;16;8;17;22;24.0
42015;1610612761;TOR;Toronto Raptors;0041500304;2016-05-23;TOR vs. CLE;W;239;105;42;78;0.538;7;22;0.318;14;19;0.737;9;26;35;17;8;3;8;16;6.0
42015;1610612739;CLE;Cleveland Cavaliers;0041500304;2016-05-23;CLE @ TOR;L;240;99;39;83;0.47;13;41;0.317;8;9;0.889;10;28;38;23;5;2;10;17;-6.0
42015;1610612760;OKC;Oklahoma City Thunder;0041500313;2016-05-22;OKC vs. GSW;W;240;133;46;92;0.5;8;25;0.32;33;37;0.892;11;41;52;21;6;8;12;23;28.0
42015;1610612744;GSW;Golden State Warriors;0041500313;2016-05-22;GSW @ OKC;L;240;105;38;92;0.413;10;32;0.313;19;25;0.76;10;28;38;19;9;1;13;21;-28.0
